Date,Gasoline_Crack
1/2/2009,-1.06
1/5/2009,0.37
1/6/2009,1.82
1/7/2009,1.65
1/8/2009,3.94
1/9/2009,4.33
1/12/2009,6.18
1/13/2009,5.26
1/14/2009,5.28
1/15/2009,4.97
1/16/2009,3.56
1/19/2009,6.25
1/20/2009,5.38
1/21/2009,5.88
1/22/2009,4.08
1/23/2009,2.93
1/26/2009,4.46
1/27/2009,8.27
1/28/2009,8.84
1/29/2009,9.19
1/30/2009,9.04
2/2/2009,6.35
2/3/2009,4.49
2/4/2009,7.43
2/5/2009,7.23
2/6/2009,7.43
2/9/2009,6.83
2/10/2009,8.07
2/11/2009,9.56
2/12/2009,10.16
2/13/2009,6.36
2/16/2009,6.87
2/17/2009,6.97
2/18/2009,5.98
2/19/2009,4.25
2/20/2009,5.64
2/23/2009,5.07
2/24/2009,5.58
2/25/2009,4.95
2/26/2009,5.26
2/27/2009,5
3/2/2009,5.64
3/3/2009,4.93
3/4/2009,3.97
3/5/2009,4.97
3/6/2009,6.23
3/9/2009,6.04
3/10/2009,5.54
3/11/2009,4.98
3/12/2009,5.42
3/13/2009,5.7
3/16/2009,7.3
3/17/2009,7.03
3/18/2009,7.81
3/19/2009,7.46
3/20/2009,6.69
3/23/2009,7.39
3/24/2009,7.59
3/25/2009,7.78
3/26/2009,7.94
3/27/2009,7.38
3/30/2009,8.6
3/31/2009,7.71
4/1/2009,9.19
4/2/2009,7.91
4/3/2009,7.71
4/6/2009,6.83
4/7/2009,7.6
4/8/2009,6.83
4/9/2009,6.54
4/14/2009,7.58
4/15/2009,8.74
4/16/2009,8.56
4/17/2009,9.95
4/20/2009,10.64
4/21/2009,10.7
4/22/2009,10.4
4/23/2009,9.7
4/24/2009,8.88
4/27/2009,8.27
4/28/2009,7.31
4/29/2009,7.98
4/30/2009,9.81
5/1/2009,10.66
5/5/2009,12.06
5/6/2009,11.12
5/7/2009,11.85
5/8/2009,11.06
5/11/2009,11.37
5/12/2009,10.22
5/13/2009,10.61
5/14/2009,12.93
5/15/2009,14.42
5/18/2009,16.58
5/19/2009,17.24
5/20/2009,17.57
5/21/2009,14.45
5/22/2009,14.33
5/26/2009,13.66
5/27/2009,12.43
5/28/2009,11.01
5/29/2009,10.81
6/1/2009,10.73
6/2/2009,12.6
6/3/2009,14.67
6/4/2009,14.37
6/5/2009,14.23
6/8/2009,12.2
6/9/2009,10.81
6/10/2009,11.5
6/11/2009,12.92
6/12/2009,15.45
6/15/2009,16.61
6/16/2009,16.62
6/17/2009,12.77
6/18/2009,11.87
6/19/2009,10.45
6/22/2009,9.2
6/23/2009,10.43
6/24/2009,9.98
6/25/2009,11.16
6/26/2009,10.15
6/29/2009,9.68
6/30/2009,9.74
7/1/2009,7.9
7/2/2009,6.52
7/3/2009,8.03
7/6/2009,9.54
7/7/2009,10.67
7/8/2009,12.66
7/9/2009,12.97
7/10/2009,11.42
7/13/2009,10.51
7/14/2009,10.21
7/15/2009,10.87
7/16/2009,11.09
7/17/2009,10.54
7/20/2009,8.34
7/21/2009,8.81
